customer_city,total_price
barra mansa,24241.14
barra velha,2014.4099999999999
barracao,166.70999999999998
barras,291.68
barreira,142.01
barreiras,14130.5
barreirinhas,490.73
barreiros,1793.31
barretos,11776.79
barrinha,3439.5699999999997
barro,928.23
barro alto,255.51000000000002
barro preto,146.57999999999998
barrocas,118.25999999999999
barrolandia,124.53999999999999
barros cassal,800.36
barroso,1575.52
barueri,60138.13
bastos,1673.94
bataguassu,732.9200000000001
bataipora,180.10000000000002
batalha,308.1
batatais,6221.89
bataypora,292.02
baturite,551.09
bauru,45731.51
bayeux,1139.4099999999999
bebedouro,6242.6900000000005
beberibe,1823.9099999999999
bela cruz,1024.47
bela vista,522.88
bela vista de goias,753.3499999999999
bela vista de minas,134.51
bela vista do maranhao,83.15
bela vista do paraiso,658.49
belem,99313.38
belem do sao francisco,771.02
belford roxo,17896.09
belmonte,262.55
belo campo,257.64
belo horizonte,430460.6
belo jardim,2209.52
belo oriente,833.02
belo vale,548.36
bemposta,48.11
benedito leite,134.12
benedito novo,1093.77
benevides,343.03000000000003
bento de abreu,371.48
bento goncalves,8507.5
bequimao,386.15
berilo,78.22
berizal,221.98000000000002
bernardino de campos,328.87
bertioga,11957.75
bertolinia,483.87
bertopolis,82.12
betim,34662.83
bezerros,2118.79
bias fortes,108.47999999999999
bicas,868.55
biguacu,5912.63
bilac,881.9100000000001
birigui,16626.829999999998
biritiba-mirim,1579.77
biritinga,147.57
bituruna,598.23
blumenau,30880.41
boa esperanca,6408.19
boa esperanca do iguacu,51.0
boa esperanca do sul,1012.62
boa ventura,31.689999999999998
boa viagem,546.76
boa vista,9892.93
boa vista da aparecida,305.23
boa vista das missoes,367.56
boa vista do burica,252.09
boa vista do cadeado,464.98
boa vista do gurupi,154.75
boa vista do sul,46.22
boca da mata,298.03
bocaina,1719.24
bocaiuva,1943.22
bocaiuva do sul,72.7
bodo,84.57
bodoco,269.03000000000003
bodoquena,495.53
bofete,2441.59
boituva,8710.15
bom conselho,1848.32
bom despacho,5554.6
bom jardim,3080.08
bom jardim de goias,25.1
bom jardim de minas,1068.38
bom jesus,3247.83
bom jesus da lapa,3295.02
bom jesus da penha,120.84
bom jesus da serra,322.28999999999996
bom jesus das selvas,301.41999999999996
bom jesus do amparo,218.54
bom jesus do araguaia,1247.2900000000002
bom jesus do galho,4923.81
bom jesus do itabapoana,4011.27
bom jesus do norte,781.85
bom jesus do querendo,188.55
bom jesus do sul,245.10000000000002
bom jesus do tocantins,820.85
bom jesus dos perdoes,5317.85
bom principio,1140.75
